LON,LAT,land_use
-48.08562256795632,-1.1921789836304233,counterfactual
-48.085367302759906,-1.1930160068045668,counterfactual
-48.085038554575604,-1.1927792411311213,counterfactual
-48.0846688026758,-1.193027642580188,counterfactual
-48.085363238598525,-1.192290081654621,counterfactual
-48.08468321292027,-1.1927839622085656,counterfactual
-48.084620673383014,-1.192987068042496,counterfactual
-48.08540600979093,-1.192222533974278,counterfactual
-48.085877640341344,-1.192356587171944,counterfactual
-48.085145958170294,-1.1923358492205534,counterfactual
