LON,LAT,land_use
-48.088939092413746,-1.1937924510324556,forest
-48.08887526152602,-1.195245139049512,forest
-48.08849854869867,-1.1936407148466717,forest
-48.08895237059716,-1.1932859191968388,forest
-48.08836128271446,-1.1889753164164476,regeneration
-48.08758911797186,-1.1884597914992687,regeneration
-48.08846470157663,-1.187542576263403,regeneration
-48.089346896524994,-1.188263435646601,regeneration
-48.08956194291031,-1.1875553132556436,regeneration
-48.089175306687146,-1.1874893112564266,regeneration
-48.08936524879163,-1.188627282633572,regeneration
-48.08908157225239,-1.18839769660711,regeneration
-48.08763182968176,-1.1875446920667283,regeneration
-48.088491918838464,-1.1896479279458363,regeneration
-48.087396938435674,-1.1879351868113868,regeneration
-48.08713156926744,-1.188875362767981,regeneration
-48.087735550341016,-1.187571021772081,regeneration
-48.08811833865636,-1.187898411572137,regeneration
-48.088500805509916,-1.1918451097563627,intervention
-48.087874260179696,-1.1922894548750995,intervention
-48.088054811527556,-1.1915863265723525,intervention
-48.08791417324218,-1.192431544655401,intervention
-48.088018442221575,-1.192218325996778,intervention
-48.089818456446565,-1.190368913553768,other
-48.0896720279807,-1.1939967498245059,other
-48.08779147772506,-1.1947145848129623,other
-48.08933609816643,-1.1925949727001932,other
-48.087249567632725,-1.1956767191645563,other
-48.0877958094682,-1.1906913487540767,other
-48.09051262981568,-1.188936657720522,other
-48.087295228088024,-1.194343984939378,other
-48.08698584448198,-1.1913248562285457,other
-48.089147664981844,-1.192259838215744,other
-48.08765242646915,-1.1942531280243303,other
-48.08738886581542,-1.1899015106700672,other
-48.087941489992325,-1.1949840838937391,other
-48.08804666073982,-1.189720933674227,other
-48.08735331423997,-1.190654130206092,other
-48.08712494203257,-1.191562839798498,other
-48.08988492959237,-1.193247458490587,other
-48.08978236170631,-1.194171801535902,other
-48.08763508130311,-1.19567325304453,other
-48.08884552714437,-1.1924758145601762,other
-48.08751677517536,-1.1907131678157468,other
-48.090302229548975,-1.1874760909214983,other
-48.08964540185845,-1.1959108096995352,other
-48.08970219174565,-1.195812221463398,other
-48.08933714436734,-1.191621761183974,other
-48.08767055843791,-1.191570308620339,other
-48.089826515119796,-1.195882221984113,other
-48.08901803136409,-1.195882221984113,other
-48.08874853677886,-1.190761824864632,other
-48.08847904219362,-1.1910313194498683,other
-48.0891719385929,-1.1904321611809268,other
-48.08681901894944,-1.1938475758966811,other
-48.08794423474685,-1.1916958360680001,other
-48.08991470676191,-1.1898366449672513,other
-48.08699545729192,-1.195499298950651,other
-48.0870957128346,-1.1956449503572149,other
-48.08839207391469,-1.193068572341784,other
-48.08981394084806,-1.1946885598318142,other
-48.08907336581162,-1.1916885782220772,other
-48.0891352125049,-1.19297318825636,other
-48.08902428872009,-1.1926455033774863,other
-48.08933146559545,-1.1953056983402341,other
-48.09056714221995,-1.18982630646864,other
-48.09034067614345,-1.18755909291752,other
-48.089654303196085,-1.1916164867737342,other
-48.08723338345178,-1.194551667235146,other
-48.090602849863565,-1.1887616952672437,other
-48.087280222280896,-1.1943034113692912,other
-48.08798541429246,-1.193583600905342,other
-48.0882993757478,-1.1928677974104873,other
-48.09023976558335,-1.1877949102887533,other
-48.0897050230288,-1.1915650713887591,other
-48.090243016880166,-1.193103411769717,other
-48.08810852842326,-1.190201719082715,other
-48.088690738902265,-1.192995513409404,other
-48.09019179190384,-1.1889864910921462,other
-48.08693762576975,-1.19147109832154,other
-48.087890577326256,-1.1945844360309328,other
-48.089502548670445,-1.190800033932777,other
-48.08874853677886,-1.190492330279396,other
-48.089057329789135,-1.191138126431209,other
-48.087071139878326,-1.192500042446057,other
-48.08792389260603,-1.192982203001458,other
-48.087848687364534,-1.1931174539773,other
